     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     48600,        23,         0,    2.32,pymatching,779c4a20d52d2ba38d3bca4fc1091c2bff5909dc48b12f452498e4a67d1da097,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":15,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":225,""r"":60,""scheme"":""FactorGrouping""}",
    340200,       169,         0,    12.3,pymatching,eb1a30737cb2c1e58b42542fa7d1bf9661643cdbc7efac2ec723961da646c0f6,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":14,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":196,""r"":56,""scheme"":""FactorGrouping""}",
    145800,        52,         0,    6.72,pymatching,779c4a20d52d2ba38d3bca4fc1091c2bff5909dc48b12f452498e4a67d1da097,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":15,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":225,""r"":60,""scheme"":""FactorGrouping""}",
    194400,        66,         0,    8.76,pymatching,779c4a20d52d2ba38d3bca4fc1091c2bff5909dc48b12f452498e4a67d1da097,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":15,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":225,""r"":60,""scheme"":""FactorGrouping""}",
     33898,         0,         0,   115.6,pymatching,964387cd457d3bafa0983e5e99d5f43ee2b729fa7ac8e2e966bdd3e730df4bb0,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":43,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1849,""r"":172,""scheme"":""FactorGrouping""}",
    534600,       230,         0,    19.4,pymatching,eb1a30737cb2c1e58b42542fa7d1bf9661643cdbc7efac2ec723961da646c0f6,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":14,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":196,""r"":56,""scheme"":""FactorGrouping""}",
     97200,        37,         0,    4.46,pymatching,779c4a20d52d2ba38d3bca4fc1091c2bff5909dc48b12f452498e4a67d1da097,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":15,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":225,""r"":60,""scheme"":""FactorGrouping""}",
     33898,         0,         0,   116.0,pymatching,964387cd457d3bafa0983e5e99d5f43ee2b729fa7ac8e2e966bdd3e730df4bb0,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":43,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1849,""r"":172,""scheme"":""FactorGrouping""}",
       100,         0,         0,   0.186,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
       100,         0,         0,   0.230,pymatching,27615a7897e9ac108821c6c94e8c387a7ce9e5d38133486fe62336d8a0403119,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":17,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":289,""r"":68,""scheme"":""FactorGrouping""}",
       200,         0,         0,   0.194,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
       200,         0,         0,   0.194,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
       600,         0,         0,   0.218,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
      1000,         0,         0,   0.241,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
      2200,         0,         0,   0.322,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
      2200,         2,         0,   0.326,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
      4200,         0,         0,   0.449,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
      8600,         4,         0,   0.729,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
     33899,         1,         0,   107.3,pymatching,964387cd457d3bafa0983e5e99d5f43ee2b729fa7ac8e2e966bdd3e730df4bb0,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":43,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1849,""r"":172,""scheme"":""FactorGrouping""}",
     17612,         0,         0,    56.9,pymatching,964387cd457d3bafa0983e5e99d5f43ee2b729fa7ac8e2e966bdd3e730df4bb0,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":43,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1849,""r"":172,""scheme"":""FactorGrouping""}",
     13000,         4,         0,    1.02,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
       200,         0,         0,   0.234,pymatching,27615a7897e9ac108821c6c94e8c387a7ce9e5d38133486fe62336d8a0403119,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":17,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":289,""r"":68,""scheme"":""FactorGrouping""}",
    291600,       110,         0,    13.1,pymatching,779c4a20d52d2ba38d3bca4fc1091c2bff5909dc48b12f452498e4a67d1da097,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":15,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":225,""r"":60,""scheme"":""FactorGrouping""}",
     21400,         7,         0,    1.53,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
      1599,         1,         0,   0.215,pymatching,779c4a20d52d2ba38d3bca4fc1091c2bff5909dc48b12f452498e4a67d1da097,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":15,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":225,""r"":60,""scheme"":""FactorGrouping""}",
     13400,         0,         0,    1.02,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
     23500,         9,         0,    1.66,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
     38600,        10,         0,    2.61,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
     21000,         4,         0,    1.51,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
    674045,       317,         0,    24.2,pymatching,eb1a30737cb2c1e58b42542fa7d1bf9661643cdbc7efac2ec723961da646c0f6,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":14,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":196,""r"":56,""scheme"":""FactorGrouping""}",
       600,         0,         0,   0.269,pymatching,27615a7897e9ac108821c6c94e8c387a7ce9e5d38133486fe62336d8a0403119,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":17,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":289,""r"":68,""scheme"":""FactorGrouping""}",
     64600,        20,         0,    4.36,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
      1800,         2,         0,   0.374,pymatching,27615a7897e9ac108821c6c94e8c387a7ce9e5d38133486fe62336d8a0403119,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":17,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":289,""r"":68,""scheme"":""FactorGrouping""}",
      5400,         0,         0,   0.683,pymatching,27615a7897e9ac108821c6c94e8c387a7ce9e5d38133486fe62336d8a0403119,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":17,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":289,""r"":68,""scheme"":""FactorGrouping""}",
    219233,        87,         0,    9.80,pymatching,779c4a20d52d2ba38d3bca4fc1091c2bff5909dc48b12f452498e4a67d1da097,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":15,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":225,""r"":60,""scheme"":""FactorGrouping""}",
     80400,        26,         0,    5.24,pymatching,5787bfc74f5eed00c3b7d1d41b96b51abee5945974010ae50c3954407023e391,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":16,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":256,""r"":64,""scheme"":""FactorGrouping""}",
     16200,         1,         0,    1.61,pymatching,27615a7897e9ac108821c6c94e8c387a7ce9e5d38133486fe62336d8a0403119,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":17,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":289,""r"":68,""scheme"":""FactorGrouping""}",
     16200,         2,         0,    1.60,pymatching,27615a7897e9ac108821c6c94e8c387a7ce9e5d38133486fe62336d8a0403119,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":17,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":289,""r"":68,""scheme"":""FactorGrouping""}",
