     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
100,0,0,10.7,pymatching,06e1e2118b2950bb3fc4e434504a72bd4d754753d17e0558817042554b02fe39,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":676,""r"":104,""scheme"":""TimestepLayerCycleOff""}",
100,0,0,9.13,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
100,0,0,8.74,pymatching,2aa4ae1a98756d94a6e1172aec36b2db1a18ced8a52f771f8da352a8f7fbdcc4,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":27,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":729,""r"":108,""scheme"":""TimestepLayerCycleOff""}",
100,0,0,0.765,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
200,0,0,0.841,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
200,0,0,0.841,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
400,1,0,0.885,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
200,0,0,0.815,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
400,0,0,0.881,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
800,0,0,1.08,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
1200,0,0,1.26,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
400,0,0,0.884,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
2400,0,0,1.82,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
3200,0,0,2.15,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
4800,2,0,2.97,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
2400,0,0,1.86,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
7200,0,0,4.06,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
1600,0,0,1.46,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
12800,0,0,6.78,pymatching,06412a82d883cd09263a1aeec3377273135710081142ebe21fedae568f86f6ae,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""5-15"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
