     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
100,0,0,11.2,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
100,0,0,9.61,pymatching,088c201fe48913fa6d17f3b119544e71aa46e8393a23a21d760651d772da67e1,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":26,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":676,""r"":104,""scheme"":""TimestepLayerCycleOff""}",
100,0,0,8.08,pymatching,843d0921f72071fbdeca6b27ee1f8b82f22f71b037f949676ec7f40522e93315,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":27,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":729,""r"":108,""scheme"":""TimestepLayerCycleOff""}",
200,0,0,0.840,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
100,0,0,0.751,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
200,0,0,0.796,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
1200,0,0,1.23,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
3600,0,0,2.26,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
1800,0,0,1.48,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
3600,0,0,2.27,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
10800,0,0,5.40,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
14400,0,0,7.08,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
21600,0,0,9.86,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
28800,2,0,13.0,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
43200,0,0,19.3,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
72000,0,0,32.2,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
172800,2,0,76.4,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
206044,3,0,90.8,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
179746,2,0,79.1,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
224705,5,0,97.9,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
224705,2,0,95.7,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
265074,7,0,112.9,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
265074,2,0,116.4,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
265074,8,0,115.1,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
265074,4,0,115.7,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
265074,8,0,115.9,pymatching,2659d5c9b9003022d4e81c780d72e1bfbbacb0e578a7549a22931edde757b92b,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":25,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":""9-27"",""q"":625,""r"":100,""scheme"":""TimestepLayerCycleOff""}",
