     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
6800,0,0,22.2,pymatching,88e632d48515fd59e23407cd64b7f7cc1a251d050710b5773737f9c2ed17bae0,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":40,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1600,""r"":160,""scheme"":""AdaptiveGrouping_d""}",
57991,0,0,117.9,pymatching,0b3da559e565af5fe8f0727e6ee952495cd59cc381803e2c34beaaadb7c3a117,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":38,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1444,""r"":152,""scheme"":""AdaptiveGrouping_d""}",
36556,0,0,90.2,pymatching,e2358e24329827bc877bcfb7ac53fb86cd0546b4eac79a98b9f9d6accda31ac1,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":39,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1521,""r"":156,""scheme"":""AdaptiveGrouping_d""}",
9600,0,0,30.4,pymatching,88e632d48515fd59e23407cd64b7f7cc1a251d050710b5773737f9c2ed17bae0,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":40,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1600,""r"":160,""scheme"":""AdaptiveGrouping_d""}",
36556,0,0,91.3,pymatching,e2358e24329827bc877bcfb7ac53fb86cd0546b4eac79a98b9f9d6accda31ac1,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":39,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1521,""r"":156,""scheme"":""AdaptiveGrouping_d""}",
57975,0,0,121.5,pymatching,0b3da559e565af5fe8f0727e6ee952495cd59cc381803e2c34beaaadb7c3a117,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":38,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1444,""r"":152,""scheme"":""AdaptiveGrouping_d""}",
36556,0,0,89.6,pymatching,e2358e24329827bc877bcfb7ac53fb86cd0546b4eac79a98b9f9d6accda31ac1,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":39,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1521,""r"":156,""scheme"":""AdaptiveGrouping_d""}",
14400,0,0,43.2,pymatching,88e632d48515fd59e23407cd64b7f7cc1a251d050710b5773737f9c2ed17bae0,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":40,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1600,""r"":160,""scheme"":""AdaptiveGrouping_d""}",
36556,0,0,96.4,pymatching,e2358e24329827bc877bcfb7ac53fb86cd0546b4eac79a98b9f9d6accda31ac1,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":39,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1521,""r"":156,""scheme"":""AdaptiveGrouping_d""}",
36556,1,0,92.9,pymatching,e2358e24329827bc877bcfb7ac53fb86cd0546b4eac79a98b9f9d6accda31ac1,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":39,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1521,""r"":156,""scheme"":""AdaptiveGrouping_d""}",
14862,0,0,40.5,pymatching,e2358e24329827bc877bcfb7ac53fb86cd0546b4eac79a98b9f9d6accda31ac1,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":39,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1521,""r"":156,""scheme"":""AdaptiveGrouping_d""}",
23200,0,0,68.6,pymatching,88e632d48515fd59e23407cd64b7f7cc1a251d050710b5773737f9c2ed17bae0,"{""b"":""Z"",""c"":""fractal_bacon_shor"",""d"":40,""g"":""all"",""noise"":""uniform"",""p"":0.001,""prob"":9,""q"":1600,""r"":160,""scheme"":""AdaptiveGrouping_d""}",
